CODE,Value
"1","Acrisols"
"10","Fluvisols"
"11","Ferralsols"
"12","Glaciers"
"13","Gleysols"
"14","Gypsisols"
"15","Histosols"
"16","Islands"
"17","Kastanozems"
"18","Leptosols"
"19","Luvisols"
"2","Alisols"
"20","Lixisols"
"21","Nitisols"
"22","Phaeozems"
"23","Planosols"
"24","Plinthosols"
"25","Podzols"
"26","Regosols"
"27","Retisols"
"28","Solonchaks"
"29","Solonetz"
"3","Andosols"
"30","Stagnosols"
"31","Technosols"
"32","Umbrisols"
"33","Vertisols"
"34","Open Water"
"35","No Data"
"4","Arenosols"
"5","Anthrosols"
"6","Chernozems"
"7","Calcisols"
"8","Cambisols"
"9","Cryosols"
